Final patched KSP GameData PART inventory: 1439 parts
Source: ModuleManager.ConfigCache

0001 | ALCOR_LanderCapsule | ALCOR Pod(A) | cat=Pods | mass=1.800000 t | bulk=size1 | engines=- | gimbal=- deg | ASET/ALCOR/Part/ALCOR.cfg
0375 | nflv-rcs-heavy-4x-1 | RQ-5x4 Heavy RCS Block | cat=Control | mass=0.160000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/RCS/nflv-rcs-heavy-4x-1.cfg
0376 | nflv-rcs-heavy-4x-2 | RJ-88x4 Heavy Bipropellant RCS Block | cat=Control | mass=0.160000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/RCS/nflv-rcs-heavy-4x-2.cfg
0377 | nflv-rcs-integrated-3x-1 | AVCS-3 Integrated RCS Block | cat=Control | mass=0.060000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/RCS/nflv-rcs-integrated-3x-1.cfg
0378 | nflv-rcs-integrated-4x-1 | AVCS-4 Integrated RCS Block | cat=Control | mass=0.070000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/RCS/nflv-rcs-integrated-4x-1.cfg
0379 | nflv-rcs-integrated-4x-2 | AVCS-4A Integrated RCS Block | cat=Control | mass=0.070000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/RCS/nflv-rcs-integrated-4x-2.cfg
0380 | nflv-cluster-mount-lower-5-1 | NR-L1 Lower Stage Engine Mount | cat=Structural | mass=2.625000 t | bulk=size4 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/Mounting/nflv-cluster-mount-lower-5-1.cfg
0381 | nflv-cluster-mount-lower-5-2 | NR-L2 Lower Stage Engine Mount | cat=Structural | mass=6.000000 t | bulk=size4 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/Mounting/nflv-cluster-mount-lower-5-2.cfg
0382 | nflv-cluster-mount-lower-5-3 | NR-L3 Lower Stage Engine Mount | cat=Structural | mass=3.000000 t | bulk=size4 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/Mounting/nflv-cluster-mount-lower-5-3.cfg
0383 | nflv-cluster-mount-lower-5-4 | NR-L4 Lower Stage Cluster Mount | cat=Structural | mass=2.500000 t | bulk=size4 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/Mounting/nflv-cluster-mount-lower-5-4.cfg
0384 | nflv-cluster-mount-lower-75-1 | ER-L1 Lower Stage Engine Mount | cat=Structural | mass=4.125000 t | bulk=size6 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/Mounting/nflv-cluster-mount-lower-75-1.cfg
0385 | nflv-cluster-mount-lower-75-2 | ER-L2 Lower Stage Engine Mount | cat=Structural | mass=4.125000 t | bulk=size6 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/Mounting/nflv-cluster-mount-lower-75-2.cfg
0386 | nflv-cluster-mount-upper-5-1 | NR-U1 Upper Stage Engine Mount | cat=Structural | mass=1.750000 t | bulk=size4 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/Mounting/nflv-cluster-mount-upper-5-1.cfg
0387 | nflv-cluster-mount-upper-5-2 | NR-U2 Upper Stage Engine Mount | cat=Structural | mass=3.500000 t | bulk=size4 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/Mounting/nflv-cluster-mount-upper-5-2.cfg
0388 | nflv-cluster-mount-upper-5-3 | NR-U3 Upper Stage Engine Mount | cat=Structural | mass=1.600000 t | bulk=size4 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/Mounting/nflv-cluster-mount-upper-5-3.cfg
0389 | nflv-cluster-mount-upper-75-1 | ER-U1 Upper Stage Engine Mount | cat=Structural | mass=4.000000 t | bulk=size6 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/Mounting/nflv-cluster-mount-upper-75-1.cfg
0390 | nflv-cluster-mount-upper-75-2 | ER-U2 Upper Stage Engine Mount | cat=Structural | mass=3.500000 t | bulk=size6 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/Mounting/nflv-cluster-mount-upper-75-2.cfg
0391 | nflv-cargo-tube-5-1 | N-Series Structural Tube | cat=Payload | mass=0.992000 t | bulk=size4 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/nflv-cargo-tube-5-1.cfg
0392 | nflv-cargo-tube-75-1 | E-Series Structural Tube | cat=Payload | mass=1.500000 t | bulk=size6 | engines=- | gimbal=- deg | NearFutureLaunchVehicles/Parts/Structural/nflv-cargo-tube-75-1.cfg
0393 | argon-0625-1 | ARK-MI-112 Argon Tank | cat=FuelTank | mass=0.066603 t | bulk=size0,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Argon/argon-0625/argon-0625-1.cfg
0394 | argon-0625-2 | ARK-MI-56 Argon Tank | cat=FuelTank | mass=0.033301 t | bulk=size0,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Argon/argon-0625/argon-0625-2.cfg
0395 | argon-0625-3 | ARK-MI-28 Argon Tank | cat=FuelTank | mass=0.016651 t | bulk=size0,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Argon/argon-0625/argon-0625-3.cfg
0396 | argon-125-1 | ARH-1M Argon Tank | cat=FuelTank | mass=0.761173 t | bulk=size1,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Argon/argon-125/argon-125-1.cfg
0397 | argon-125-2 | ARH-05M Argon Tank | cat=FuelTank | mass=0.380587 t | bulk=size1,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Argon/argon-125/argon-125-2.cfg
0398 | argon-125-3 | ARH-025M Argon Tank | cat=FuelTank | mass=0.190293 t | bulk=size1,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Argon/argon-125/argon-125-3.cfg
0399 | argon-25-1 | ARG-10M Argon Tank | cat=FuelTank | mass=6.089387 t | bulk=size2,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Argon/argon-25/argon-25-1.cfg
0400 | argon-25-2 | ARG-5M Argon Tank | cat=FuelTank | mass=3.044693 t | bulk=size2,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Argon/argon-25/argon-25-2.cfg
0401 | argon-25-3 | ARG-2M Argon Tank | cat=FuelTank | mass=1.522347 t | bulk=size2,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Argon/argon-25/argon-25-3.cfg
0402 | argon-radial-0625-1 | A101 Argon Tank | cat=Propulsion | mass=0.008563 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Argon/argon-radial/argon-radial-0625-1.cfg
0403 | argon-radial-125-1 | A102 Argon Tank | cat=Propulsion | mass=0.038059 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Argon/argon-radial/argon-radial-125-1.cfg
0404 | ionArgon-0625-2 | GW7201 'Gyro-2' Lensed Hall Thruster | cat=Propulsion | mass=0.150000 t | bulk=size0, srf | engines=- 3.35 kN | gimbal=- deg | NearFuturePropulsion/Parts/Engines/ionArgon-0625/ionArgon-0625-2.cfg
0405 | ionArgon-0625-3 | GW3 'Triplet' Nested-Channel Hall Thruster | cat=Propulsion | mass=0.300000 t | bulk=size0, srf | engines=- 8.4 kN | gimbal=- deg | NearFuturePropulsion/Parts/Engines/ionArgon-0625/ionArgon-0625-3.cfg
0406 | ionArgon-0625 | GW0101 'Gyro-1' Hall Thruster | cat=Propulsion | mass=0.100000 t | bulk=size0 | engines=- 1.5 kN | gimbal=- deg | NearFuturePropulsion/Parts/Engines/ionArgon-0625/ionArgon-0625.cfg
0407 | ionXenon-0625-2 | FI-1124 'HI-SNAP' Ion Thruster | cat=Propulsion | mass=0.250000 t | bulk=size0, srf | engines=- 4.3 kN | gimbal=- deg | NearFuturePropulsion/Parts/Engines/ionXenon-0625/ionXenon-0625-2.cfg
0408 | ionXenon-0625-3 | FI-2154 'Jewel-4' Gridded Ion Thruster | cat=Propulsion | mass=0.250000 t | bulk=size0, srf | engines=- 3.85 kN | gimbal=- deg | NearFuturePropulsion/Parts/Engines/ionXenon-0625/ionXenon-0625-3.cfg
0409 | ionXenon-0625 | IX-8219 'AFTER' Ion Thruster | cat=Propulsion | mass=0.200000 t | bulk=size0, srf | engines=- 2.1 kN | gimbal=- deg | NearFuturePropulsion/Parts/Engines/ionXenon-0625/ionXenon-0625.cfg
0410 | mpdt-0625 | LF-1 'Charon' Magnetoplasmadynamic Thruster | cat=Propulsion | mass=0.330000 t | bulk=size0 | engines=small 47.3 kN | gimbal=1 deg | NearFuturePropulsion/Parts/Engines/mpdt-0625/mpdt-0625.cfg
0411 | mpdt-125 | LF-2 'Pyrios' Magnetoplasmadynamic Thruster | cat=Propulsion | mass=0.900000 t | bulk=size1 | engines=largeMPDT 96.4 kN | gimbal=1 deg | NearFuturePropulsion/Parts/Engines/mpdt-125/mpdt-125.cfg
0412 | mpdt-25 | LF-9 'Colossus' Magnetoplasmadynamic Engine | cat=Propulsion | mass=2.500000 t | bulk=size2 | engines=largestMPDT 242.2 kN | gimbal=1 deg | NearFuturePropulsion/Parts/Engines/mpdt-25/mpdt-25.cfg
0413 | pit-0625 | KP-01 'Scintillator' Pulsed Inductive Thruster | cat=Propulsion | mass=0.250000 t | bulk=size0 | engines=smallPIT 14.8 kN | gimbal=- deg | NearFuturePropulsion/Parts/Engines/pit-0625/pit-0625.cfg
0414 | pit-125 | KP-XL 'Inductor' Pulsed Inductive Thruster | cat=Propulsion | mass=0.750000 t | bulk=size1 | engines=largePIT 26.7 kN | gimbal=- deg | NearFuturePropulsion/Parts/Engines/pit-125/pit-125.cfg
0415 | pit-25 | KX-XK 'Repulsor' Pulsed Inductive Thruster | cat=Propulsion | mass=2.000000 t | bulk=size2 | engines=largePIT 41.1 kN | gimbal=- deg | NearFuturePropulsion/Parts/Engines/pit-25/pit-25.cfg
0416 | vasimr-0625 | VX-100 'Helicon' VASIMR Plasma Thruster | cat=Propulsion | mass=0.350000 t | bulk=size0 | engines=ArgonMode 3.67 kN; XenonMode 6.22 kN | gimbal=2 deg | NearFuturePropulsion/Parts/Engines/vasimr-0625/vasimr-0625.cfg
0417 | vasimr-125 | VW-200 'Magnotron' VASIMR Plasma Thruster | cat=Propulsion | mass=1.000000 t | bulk=size1 | engines=ArgonMode 14.7 kN; XenonMode 24.9 kN | gimbal=2 deg | NearFuturePropulsion/Parts/Engines/vasimr-125/vasimr-125.cfg
0418 | vasimr-25 | VW-10K 'Cyclotron' VASIMR Plasma Engine | cat=Propulsion | mass=2.800000 t | bulk=size2 | engines=ArgonMode 73.5 kN; XenonMode 124.45 kN | gimbal=2 deg | NearFuturePropulsion/Parts/Engines/vasimr-25/vasimr-25.cfg
0419 | lithium-0625-1 | LFT-C03 Lithium Tank | cat=FuelTank | mass=0.068530 t | bulk=size0, srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Lithium/lithium-0625/lithium-0625-1.cfg
0420 | lithium-0625-2 | LFT-C02 Lithium Tank | cat=FuelTank | mass=0.034265 t | bulk=size0,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Lithium/lithium-0625/lithium-0625-2.cfg
0421 | lithium-0625-3 | LFT-C01 Lithium Tank | cat=FuelTank | mass=0.017132 t | bulk=size0,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Lithium/lithium-0625/lithium-0625-3.cfg
0422 | lithium-125-1 | LFT-B4 Lithium Tank | cat=FuelTank | mass=0.783200 t | bulk=size1,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Lithium/lithium-125/lithium-125-1.cfg
0423 | lithium-125-2 | LFT-B2 Lithium Tank | cat=FuelTank | mass=0.391600 t | bulk=size1,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Lithium/lithium-125/lithium-125-2.cfg
0424 | lithium-125-3 | LFT-B1 Lithium Tank | cat=FuelTank | mass=0.195800 t | bulk=size1, srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Lithium/lithium-125/lithium-125-3.cfg
0425 | lithium-25-1 | LFT-A40 Lithium Tank | cat=FuelTank | mass=6.265600 t | bulk=size2,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Lithium/lithium-25/lithium-25-1.cfg
0426 | lithium-25-2 | LFT-A20 Lithium Tank | cat=FuelTank | mass=3.132800 t | bulk=size2,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Lithium/lithium-25/lithium-25-2.cfg
0427 | lithium-25-3 | LFT-A10 Lithium Tank | cat=FuelTank | mass=1.566400 t | bulk=size2,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Lithium/lithium-25/lithium-25-3.cfg
0428 | lithium-radial-0625-1 | LFR-01 Lithium Tank | cat=Propulsion | mass=0.016376 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Lithium/lithium-radial/lithium-radial-0625-1.cfg
0429 | lithium-radial-125-1 | LFR-08 Lithium Tank | cat=Propulsion | mass=0.156640 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Lithium/lithium-radial/lithium-radial-125-1.cfg
0430 | rcsblock-gridded-01 | IW-201 Gridded Ion Thruster | cat=Control | mass=0.010000 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/RCS/rcsblock-electric/rcsblock-gridded-01.cfg
0431 | rcsblock-hall-01 | SPZ-5167 Hall Effect RCS Thruster | cat=Control | mass=0.008000 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/RCS/rcsblock-electric/rcsblock-hall-01.cfg
0432 | rcsblock-mpdt-quad-01 | LiFt-4 Magnetoplasmadynamic RCS Block | cat=Control | mass=0.040000 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/RCS/rcsblock-electric/rcsblock-mpdt-quad-01.cfg
0433 | rcsblock-mpdt-quint-01 | LiFt-5 Magnetoplasmadynamic RCS Block | cat=Control | mass=0.050000 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/RCS/rcsblock-electric/rcsblock-mpdt-quint-01.cfg
0434 | rcsblock-mpdt-single-01 | LiFt-1 Magnetoplasmadynamic RCS Thruster | cat=Control | mass=0.010000 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/RCS/rcsblock-electric/rcsblock-mpdt-single-01.cfg
0435 | rcsblock-mpdt-triple-01 | LiFt-3 Magnetoplasmadynamic RCS Block | cat=Control | mass=0.030000 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/RCS/rcsblock-electric/rcsblock-mpdt-triple-01.cfg
0436 | rcsblock-pulsedplasma-01 | KO-1 Pulsed Plasma RCS Thruster | cat=Control | mass=0.010000 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/RCS/rcsblock-electric/rcsblock-pulsedplasma-01.cfg
0437 | xenon-125-1 | PB-XA24 Xenon Tank | cat=FuelTank | mass=0.800000 t | bulk=size1,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Xenon/xenon-125/xenon-125-1.cfg
0438 | xenon-125-2 | PB-XA12 Xenon Tank | cat=FuelTank | mass=0.400000 t | bulk=size1,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Xenon/xenon-125/xenon-125-2.cfg
0439 | xenon-125-3 | PB-XA06 Xenon Tank | cat=FuelTank | mass=0.200000 t | bulk=size1,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Xenon/xenon-125/xenon-125-3.cfg
0440 | xenon-25-1 | PB-Z08 Xenon Tank | cat=FuelTank | mass=6.400000 t | bulk=size2, srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Xenon/xenon-25/xenon-25-1.cfg
0441 | xenon-25-2 | PB-Z04 Xenon Tank | cat=FuelTank | mass=3.200000 t | bulk=size2,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Xenon/xenon-25/xenon-25-2.cfg
0442 | xenon-25-3 | PB-Z02 Xenon Tank | cat=FuelTank | mass=1.600000 t | bulk=size2,srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Xenon/xenon-25/xenon-25-3.cfg
0443 | xenon-radial-125-1 | PB-XR9 Xenon Tank | cat=FuelTank | mass=0.250000 t | bulk=srf | engines=- | gimbal=- deg | NearFuturePropulsion/Parts/Xenon/xenon-radial/xenon-radial-125-1.cfg
0444 | nfs-panel-deploying-advanced-1x1-ikonos-1 | K0x7-FR 'Imager' 1x1 Advanced Photovoltaic Panels | cat=Electrical | mass=0.020000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-1x1-ikonos-1.cfg
0445 | nfs-panel-deploying-advanced-1x1-messenger-1 | K3x75 'Hermes' 3x1 Advanced Photovoltaic Panels | cat=Electrical | mass=0.037500 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-1x1-messenger-1.cfg
0446 | nfs-panel-deploying-advanced-1x2-mro-1 | K2 1x2 'Recon' Advanced Photovoltaic Panels | cat=Electrical | mass=0.020000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-1x2-mro-1.cfg
0447 | nfs-panel-deploying-advanced-1x2-wv4-1 | K4-FR 1x2 'Globe-4' Advanced Photovoltaic Panels | cat=Electrical | mass=0.056000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-1x2-wv4-1.cfg
0448 | nfs-panel-deploying-advanced-1x3-orion-1 | K5 1x3 'Aquila' Advanced Photovoltaic Panels | cat=Electrical | mass=0.050000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-1x3-orion-1.cfg
0449 | nfs-panel-deploying-advanced-1x3-orion-2 | K5-R 'Aquila-R' 1x3 Advanced Photovoltaic Panels | cat=Electrical | mass=0.061000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-1x3-orion-2.cfg
0450 | nfs-panel-deploying-advanced-1x4-dragon-1 | K7 'Gecko' 1x4 Advanced Photovoltaic Panels | cat=Electrical | mass=0.070000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-1x4-dragon-1.cfg
0451 | nfs-panel-deploying-advanced-1x4-dragon-2 | K7-R 'Gecko-R' 1x4 Advanced Photovoltaic Panels | cat=Electrical | mass=0.085400 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-1x4-dragon-2.cfg
0452 | nfs-panel-deploying-advanced-1x5-dawn-1 | K14 'Sunrise' 1x5 Advanced Photovoltaic Panels | cat=Electrical | mass=0.140000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-1x5-dawn-1.cfg
0453 | nfs-panel-deploying-advanced-1x5-goes-1 | K22 'Observer' 1x5 Advanced Photovoltaic Panels | cat=Electrical | mass=0.220000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-1x5-goes-1.cfg
0454 | nfs-panel-deploying-advanced-2x20-hub-1 | K55-A 'Megalador' Advanced Solar Array | cat=Electrical | mass=0.550000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-2x20-hub-1.cfg
0455 | nfs-panel-deploying-advanced-2x6x6-lab-1 | K40-AR 'Oar' Advanced Solar Array | cat=Electrical | mass=0.400000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-2x6x6-lab-1.cfg
0456 | nfs-panel-deploying-advanced-3x1-hayabusa-1 | K10-FR 'Searcher' 3x1 Advanced Photovoltaic Panels | cat=Electrical | mass=0.140000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-3x1-hayabusa-1.cfg
0457 | nfs-panel-deploying-advanced-3x1-tdrss-1 | K4 3x1 'Relay' Advanced Photovoltaic Panels | cat=Electrical | mass=0.040000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-3x1-tdrss-1.cfg
0458 | nfs-panel-deploying-advanced-3x1-wv3-1 | K3 'Globe' 3x1 Advanced Photovoltaic Panels | cat=Electrical | mass=0.030000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-advanced/nfs-panel-deploying-advanced-3x1-wv3-1.cfg
0459 | nfs-panel-deploying-blanket-arm-1 | OKEB-150R 'Halo' Circular Blanket Photovoltaic Array | cat=Electrical | mass=1.525000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-blanket/nfs-panel-deploying-blanket-arm-1.cfg
0460 | nfs-panel-deploying-blanket-bfs-1 | OKEB-75R 'Sirius' Blanket Photovoltaic Array | cat=Electrical | mass=0.762500 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-blanket/nfs-panel-deploying-blanket-bfs-1.cfg
0461 | nfs-panel-deploying-blanket-copernicus-1 | OKEB-15 'Copernicus' Blanket Photovoltaic Array | cat=Electrical | mass=0.125000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-blanket/nfs-panel-deploying-blanket-copernicus-1.cfg
0462 | nfs-panel-deploying-blanket-drm-1 | OKEB-500 'Titan' Blanket Photovoltaic Array | cat=Electrical | mass=4.166700 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-blanket/nfs-panel-deploying-blanket-drm-1.cfg
0463 | nfs-panel-deploying-blanket-dsg-1 | OKEB-100 'Gateway' Blanket Photovoltaic Array | cat=Electrical | mass=0.833300 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-blanket/nfs-panel-deploying-blanket-dsg-1.cfg
0464 | nfs-panel-deploying-blanket-dst-1 | OKEB-250 'Ares' Blanket Photovoltaic Array | cat=Electrical | mass=2.083300 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-blanket/nfs-panel-deploying-blanket-dst-1.cfg
0465 | nfs-panel-deploying-blanket-nautilus-1 | OKEB-45 'Nautilus' Blanket Photovoltaic Array | cat=Electrical | mass=0.375000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-blanket/nfs-panel-deploying-blanket-nautilus-1.cfg
0466 | nfs-panel-deploying-blanket-orion-1 | OKEB-4R Circular Blanket Photovoltaic Array | cat=Electrical | mass=0.040700 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-blanket/nfs-panel-deploying-blanket-orion-1.cfg
0467 | nfs-panel-deploying-blanket-starship-1 | OKEB-25R 'Starship' Blanket Photovoltaic Array | cat=Electrical | mass=0.254200 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-blanket/nfs-panel-deploying-blanket-starship-1.cfg
0468 | nfs-panel-deploying-concentrator-1x3x1-juice-1 | K20-K 1+2+1 Concentrating Photovoltaic Panels | cat=Electrical | mass=0.222000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-concentrator/nfs-panel-deploying-concentrator-1x3x1-juice-1.cfg
0469 | nfs-panel-deploying-concentrator-1x4-juno-1 | K12-K 1x4 Concentrating Photovoltaic Panels | cat=Electrical | mass=0.133000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-concentrator/nfs-panel-deploying-concentrator-1x4-juno-1.cfg
0470 | nfs-panel-deploying-curved-25-1 | NIV-10-R Expanding Curved Solar Array | cat=Electrical | mass=0.178000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-curved/nfs-panel-deploying-curved-25-1.cfg
0471 | nfs-panel-deploying-curved-375-1 | NIV-75-R Expanding Curved Solar Array | cat=Electrical | mass=1.281000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/deploying-curved/nfs-panel-deploying-curved-375-1.cfg
0472 | nfs-panel-static-curved-25-1 | NIV-30 Curved Solar Array | cat=Electrical | mass=0.420000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/static-curved/nfs-panel-static-curved-25-1.cfg
0473 | nfs-panel-static-curved-375-1 | NIV-45 Curved Solar Array | cat=Electrical | mass=0.630000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/static-curved/nfs-panel-static-curved-375-1.cfg
0474 | nfs-panel-static-truss-1 | KX-STAT-8 1x4 Advanced Photovoltaic Truss | cat=Electrical | mass=0.112000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/static/nfs-panel-static-truss-1.cfg
0475 | nfs-panel-static-truss-2 | KX-STAT-4 1x2 Advanced Photovoltaic Truss | cat=Electrical | mass=0.056000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/static/nfs-panel-static-truss-2.cfg
0476 | nfs-panel-static-truss-3 | KX-STAT-2 1x1 Advanced Photovoltaic Truss | cat=Electrical | mass=0.028000 t | bulk=srf | engines=- | gimbal=- deg | NearFutureSolar/Parts/SolarPanels/static/nfs-panel-static-truss-3.cfg
0477 | command-125-1 | Mk1-TMA 'Proteus' Advanced Command Pod | cat=Pods | mass=1.510000 t | bulk=size1, size0 | engines=- | gimbal=- deg | NearFutureSpacecraft/Parts/Command/command-pods/command-125-1.cfg
0478 | command-125-landing-1 | Mk1-L 'Nereid' Specialized Command Pod | cat=none | mass=1.630000 t | bulk=size1, size0 | engines=- | gimbal=- deg | NearFutureSpacecraft/Parts/Command/command-pods/command-125-landing-1.cfg
0479 | command-125-orbit-1 | Mk1-X 'Phoebe' Orbital Command Pod | cat=Pods | mass=0.865000 t | bulk=size1 | engines=- | gimbal=- deg | NearFutureSpacecraft/Parts/Command/command-pods/command-125-orbit-1.cfg
0480 | command-25-1 | Mk3B 'Pandora' Advanced Command Pod | cat=Pods | mass=3.040500 t | bulk=size2, size1 | engines=- | gimbal=- deg | NearFutureSpacecraft/Parts/Command/command-pods/command-25-1.cfg
0481 | command-25-landing-1 | Mk3 'Tethys' Specialized Command Pod | cat=none | mass=2.443000 t | bulk=size2, size1 | engines=- | gimbal=- deg | NearFutureSpacecraft/Parts/Command/command-pods/command-25-landing-1.cfg
0482 | command-375-biconic-1 | Mk4-B 'Elara' Biconic Command Module | cat=Pods | mass=4.580000 t | bulk=size3, size0 | engines=- | gimbal=- deg | NearFutureSpacecraft/Parts/Command/command-pods/command-375-biconic-1.cfg
0483 | command-mk3-9 | Mk3-9 'Rhea' Orbital Command Pod | cat=Pods | mass=1.850000 t | bulk=size2, size1 | engines=- | gimbal=- deg | NearFutureSpacecraft/Parts/Command/command-pods/command-mk3-9.cfg
